last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Gott, Trevor,2019,R,913,1.4,86.0,2314,4.5,-34.0,6.2,1.5,17.7,81.1,2099,10.8,-53.3,14.7,1.3,
McCarthy, Kevin,2019,R,901,3.4,83.3,2111,0.4,-35.5,3.9,1.3,2.8,82.3,2133,3.0,-37.8,3.8,1.4,
Anderson, Chase,2019,R,2296,,,,,,,,10.2,77.8,2170,7.5,-61.4,15.9,1.4,
Wittgren, Nick,2019,R,967,18.8,83.7,2450,5.0,-40.7,5.6,1.4,0.1,78.4,2211,6.0,-50.8,8.3,,
Bassitt, Chris,2019,R,2410,0.1,79.2,2313,7.3,-48.6,8.4,1.5,12.8,70.3,2238,13.8,-71.3,19.7,1.7,
Williams, Trevor,2019,R,2327,20.0,82.9,2202,6.3,-38.0,6.9,1.6,0.9,76.7,2259,7.5,-50.9,8.6,1.4,
Barnes, Matt,2019,R,1310,,,,,,,,50.6,85.5,2274,3.6,-50.0,13,1.3,
Webb, Tyler,2019,L,882,,,,,,,,15.4,76.7,2283,-4.0,-51.6,6.3,1.4,
Miller, Shelby,2019,R,862,,,,,,,,24.3,79.4,2325,7.6,-54.8,13.2,1.2,
Hess, David,2019,R,1430,24.6,83.4,2322,5.1,-36.9,7,1.6,4.5,77.3,2351,7.9,-52.2,9.1,2,
Zimmermann, Jordan,2019,R,1866,31.5,85.8,2288,3.5,-29.8,8.7,1,19.5,80.2,2372,5.4,-48.5,7.7,1.3,
Duplantier, Jon,2019,R,676,19.6,83.4,2213,6.2,-38.2,6.7,1.9,12.4,78.4,2385,9.6,-56.9,15.7,2.1,
Cessa, Luis,2019,R,1351,49.8,84.9,2491,0.9,-38.6,2.3,1.2,0.9,80.8,2397,3.7,-47.9,6.3,1.4,
Rodriguez, Jefry,2019,R,784,,,,,,,,22.9,80.9,2412,5.2,-45.6,7,1.7,
Miley, Wade,2019,L,2863,0.9,81.7,2398,-4.9,-45.5,6.3,1.4,9.2,75.6,2428,-7.7,-62.6,14.6,2,
